,LCPIA_US,PIEA0_US,PIEA1_US,PIELTA_US,LGDPA_US,GDPA_GROWTH0_US,GDPA_GROWTH1_US,GDPA_GROWTH2_US,GDPA_GROWTH3_US,GDPA_GROWTH4_US,GDPA_GROWTH5_US,GDPA_GROWTH6_US,LGDP_BAR_WEO_US,YGAP_WEO_US,RHSPIE_US,PCYHAT_US,RS_WEO_US,LGDP_WEO_US,PIESPF_US,RL_US
1960Y1,-160.1,NaN,NaN,NaN,794.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.9,794.8,NaN,4.12
1961Y1,-159,NaN,NaN,NaN,797.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,796.6,0.6,NaN,NaN,2.4,797.1,NaN,3.88
1962Y1,-157.9,NaN,NaN,NaN,802.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,800.8,2.2,NaN,NaN,2.8,803,NaN,3.95
1963Y1,-156.6,NaN,NaN,1.32,807.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,805,2.3,NaN,NaN,3.2,807.2,NaN,4
1964Y1,-155.3,NaN,NaN,1.37,812.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,809.2,3.7,NaN,NaN,3.5,812.9,NaN,4.19
1965Y1,-153.7,NaN,NaN,1.46,819.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,813.4,5.8,NaN,NaN,3.9,819.1,NaN,4.28
1966Y1,-150.8,NaN,NaN,1.65,825.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,817.6,8.1,NaN,NaN,4.9,825.4,NaN,4.92
1967Y1,-148.1,NaN,NaN,1.8,827.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,821.8,6.3,NaN,NaN,4.3,827.9,NaN,5.07
1968Y1,-143.9,NaN,NaN,1.74,832.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,826,6.7,NaN,NaN,5.3,832.6,NaN,5.65
1969Y1,-138.6,NaN,NaN,1.89,835.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,830.2,5.4,NaN,NaN,6.7,835.5,NaN,6.67
1970Y1,-132.9,NaN,NaN,2.34,835.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,834.5,1.3,NaN,NaN,6.4,835.7,NaN,7.35
1971Y1,-128.7,NaN,NaN,2.78,839.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,838.7,0.4,NaN,NaN,4.3,839,NaN,6.16
1972Y1,-125.5,NaN,NaN,3.09,844.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,842.9,1.4,NaN,NaN,4.1,844.3,NaN,6.21
1973Y1,-119.5,NaN,NaN,3.3,850,NaN,NaN,NaN,NaN,NaN,NaN,NaN,847.1,2.9,NaN,NaN,7,849.9,NaN,6.84
1974Y1,-109,NaN,NaN,3.8,849.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,851.3,-2,NaN,NaN,7.8,849.3,NaN,7.56
1975Y1,-100.3,NaN,NaN,4.77,849.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,855.5,-6.3,NaN,NaN,5.8,849,NaN,7.99
1976Y1,-94.7,NaN,NaN,5.52,854.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,858.7,-4.2,NaN,NaN,5,854.4,NaN,7.61
1977Y1,-88.4,NaN,NaN,5.8,858.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,861.8,-2.9,NaN,NaN,5.3,858.9,NaN,7.42
1978Y1,-81,NaN,NaN,6.17,864.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,865,-0.7,NaN,NaN,7.2,864.3,NaN,8.41
1979Y1,-70.4,NaN,NaN,6.51,867.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,868.1,-0.7,NaN,NaN,10.1,867.4,NaN,9.44
1980Y1,-57.7,NaN,NaN,7.1,867.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,869.3,-2.1,NaN,NaN,11.4,867.1,NaN,11.46
1981Y1,-47.8,NaN,NaN,7.86,869.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,871.4,-1.7,NaN,NaN,14.2,869.7,NaN,13.91
1982Y1,-41.8,NaN,NaN,8.48,867.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,874.5,-6.6,NaN,NaN,11.1,867.7,6.0341,13
1983Y1,-38.7,NaN,NaN,8.77,872.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,877.4,-5.1,NaN,NaN,8.9,872.1,4.7342,11.11
1984Y1,-34.5,NaN,NaN,8.46,879,NaN,NaN,NaN,NaN,NaN,NaN,NaN,880.3,-1.2,NaN,NaN,9.9,879.1,4.8715,12.44
1985Y1,-31,NaN,NaN,7.8,883.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,883.6,-0.5,NaN,NaN,7.7,883.1,4.1433,10.62
1986Y1,-29.1,NaN,NaN,7.24,886.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,886.9,-0.3,NaN,NaN,6.2,886.5,3.5308,7.68
1987Y1,-25.6,NaN,NaN,6.85,889.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,889.9,-0.2,NaN,NaN,6,889.7,4.2843,8.38
1988Y1,-21.5,NaN,NaN,6.56,893.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,892.8,0.9,NaN,NaN,6.9,893.7,4.6624,8.85
1989Y1,-16.9,NaN,NaN,6.21,897.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,895.7,1.5,NaN,NaN,8.4,897.2,4.6593,8.5
1990Y1,-11.6,4.9,4.5,5.005,899.1,1.6,1.6,2.6,2.6,2.4,2.4,2.4,898.8,0.3,4.7,0.8,7.7,899.1,4.3776,8.55
1991Y1,-7.4,4.4,3.7,3.8,898.8,-0.3,2.5,2.7,2.5,2.4,2.3,2.5,901.6,-2.7,4.6,-0.4,5.5,898.8,3.7056,7.86
1992Y1,-4.5,3.1,3.4,3.8,902.2,1.9,2.9,2.7,2.6,2.5,2.4,2.5,904.2,-2,3.8,-0.8,3.5,902.2,3.3749,7.01
1993Y1,-1.5,3.1,3.2,3.7,905,2.8,3,2.7,2.7,2.6,2.6,2.5,906.9,-1.9,3.1,-0.2,3.1,905,3.2293,5.86
1994Y1,1,2.7,3.3,3.6,909,3.6,2.8,2.9,2.7,2.6,2.5,2.5,909.8,-0.8,3.1,-0.5,4.4,909,3.3062,7.08
1995Y1,3.8,3.1,3.3,3.4,911.5,3.1,2.5,2.5,2.3,2.4,2.6,2.5,912.7,-1.3,3,-0.2,5.7,911.4,3.2906,6.58
1996Y1,6.7,2.9,3,3,915.1,2.3,2.3,2.1,1.7,2.4,2.4,2.3,915.8,-0.7,2.9,0,5.1,915.1,2.9193,6.44
1997Y1,9,2.6,2.8,2.9,919.5,3.3,2.3,1.9,2,2.4,2.3,2.3,919,0.4,2.9,-0.6,5.2,919.5,2.8781,6.35
1998Y1,10.5,1.8,2.4,2.8,923.7,3.1,2.2,2.1,2.1,2.4,2.4,2.4,922.5,1.3,2.4,-0.8,4.9,923.7,2.3749,5.26
1999Y1,12.7,2.1,2.5,2.6,928.5,3.6,2.6,2.3,2.4,2.7,2.6,2.6,926,2.4,2,0.2,4.8,928.5,2.3197,5.64
2000Y1,16,3,2.6,2.6,932.5,4.7,3.2,3,3.5,3.9,3.2,3.1,929.6,3,2.4,1,6,932.5,2.614,6.03
