DATE,GDPDEF
1947-01-01,12.566
1947-04-01,12.745
1947-07-01,12.957
1947-10-01,13.276
1948-01-01,13.379
1948-04-01,13.497
1948-07-01,13.747
1948-10-01,13.789
1949-01-01,13.717
1949-04-01,13.579
1949-07-01,13.509
1949-10-01,13.518
1950-01-01,13.490
1950-04-01,13.538
1950-07-01,13.832
1950-10-01,14.090
1951-01-01,14.596
1951-04-01,14.692
1951-07-01,14.701
1951-10-01,14.869
1952-01-01,14.863
1952-04-01,14.882
1952-07-01,15.048
1952-10-01,15.091
1953-01-01,15.096
1953-04-01,15.125
1953-07-01,15.188
1953-10-01,15.219
1954-01-01,15.266
1954-04-01,15.281
1954-07-01,15.300
1954-10-01,15.343
1955-01-01,15.417
1955-04-01,15.481
1955-07-01,15.590
1955-10-01,15.743
1956-01-01,15.902
1956-04-01,15.997
1956-07-01,16.197
1956-10-01,16.264
1957-01-01,16.485
1957-04-01,16.601
1957-07-01,16.701
1957-10-01,16.711
1958-01-01,16.892
1958-04-01,16.940
1958-07-01,17.043
1958-10-01,17.123
1959-01-01,17.169
1959-04-01,17.194
1959-07-01,17.258
1959-10-01,17.326
1960-01-01,17.397
1960-04-01,17.443
1960-07-01,17.506
1960-10-01,17.560
1961-01-01,17.598
1961-04-01,17.641
1961-07-01,17.687
1961-10-01,17.745
1962-01-01,17.837
1962-04-01,17.866
1962-07-01,17.903
1962-10-01,17.938
1963-01-01,18.017
1963-04-01,18.047
1963-07-01,18.069
1963-10-01,18.216
1964-01-01,18.274
1964-04-01,18.318
1964-07-01,18.392
1964-10-01,18.476
1965-01-01,18.569
1965-04-01,18.652
1965-07-01,18.726
1965-10-01,18.853
1966-01-01,18.975
1966-04-01,19.131
1966-07-01,19.317
1966-10-01,19.481
1967-01-01,19.562
1967-04-01,19.661
1967-07-01,19.849
1967-10-01,20.067
1968-01-01,20.290
1968-04-01,20.504
1968-07-01,20.706
1968-10-01,20.999
1969-01-01,21.217
1969-04-01,21.488
1969-07-01,21.790
1969-10-01,22.071
1970-01-01,22.382
1970-04-01,22.694
1970-07-01,22.880
1970-10-01,23.182
1971-01-01,23.536
1971-04-01,23.846
1971-07-01,24.088
1971-10-01,24.288
1972-01-01,24.664
1972-04-01,24.815
1972-07-01,25.048
1972-10-01,25.366
1973-01-01,25.661
1973-04-01,26.052
1973-07-01,26.549
1973-10-01,27.077
1974-01-01,27.592
1974-04-01,28.248
1974-07-01,29.067
1974-10-01,29.923
1975-01-01,30.601
1975-04-01,31.059
1975-07-01,31.612
1975-10-01,32.139
1976-01-01,32.473
1976-04-01,32.803
1976-07-01,33.226
1976-10-01,33.815
1977-01-01,34.359
1977-04-01,34.841
1977-07-01,35.270
1977-10-01,36.036
1978-01-01,36.573
1978-04-01,37.242
1978-07-01,37.865
1978-10-01,38.661
1979-01-01,39.352
1979-04-01,40.304
1979-07-01,41.165
1979-10-01,41.986
1980-01-01,42.859
1980-04-01,43.800
1980-07-01,44.808
1980-10-01,46.046
1981-01-01,47.196
1981-04-01,48.081
1981-07-01,48.946
1981-10-01,49.863
1982-01-01,50.561
1982-04-01,51.170
1982-07-01,51.907
1982-10-01,52.483
1983-01-01,52.907
1983-04-01,53.265
1983-07-01,53.823
1983-10-01,54.219
1984-01-01,54.796
1984-04-01,55.257
1984-07-01,55.705
1984-10-01,56.079
1985-01-01,56.724
1985-04-01,57.075
1985-07-01,57.406
1985-10-01,57.738
1986-01-01,58.020
1986-04-01,58.252
1986-07-01,58.487
1986-10-01,58.813
1987-01-01,59.240
1987-04-01,59.637
1987-07-01,60.070
1987-10-01,60.567
1988-01-01,61.043
1988-04-01,61.633
1988-07-01,62.359
1988-10-01,62.859
1989-01-01,63.550
1989-04-01,64.207
1989-07-01,64.672
1989-10-01,65.122
1990-01-01,65.841
1990-04-01,66.520
1990-07-01,67.114
1990-10-01,67.622
1991-01-01,68.296
1991-04-01,68.764
1991-07-01,69.269
1991-10-01,69.643
1992-01-01,69.942
1992-04-01,70.388
1992-07-01,70.723
1992-10-01,71.201
1993-01-01,71.606
1993-04-01,72.041
1993-07-01,72.475
1993-10-01,72.853
1994-01-01,73.206
1994-04-01,73.571
1994-07-01,73.969
1994-10-01,74.376
1995-01-01,74.803
1995-04-01,75.132
1995-07-01,75.489
1995-10-01,75.861
1996-01-01,76.272
1996-04-01,76.562
1996-07-01,76.778
1996-10-01,77.168
1997-01-01,77.647
1997-04-01,77.857
1997-07-01,78.135
1997-10-01,78.395
1998-01-01,78.523
1998-04-01,78.687
1998-07-01,78.981
1998-10-01,79.228
1999-01-01,79.624
1999-04-01,79.891
1999-07-01,80.180
1999-10-01,80.547
2000-01-01,81.163
2000-04-01,81.623
2000-07-01,82.152
2000-10-01,82.593
2001-01-01,83.112
2001-04-01,83.699
2001-07-01,83.973
2001-10-01,84.227
2002-01-01,84.497
2002-04-01,84.812
2002-07-01,85.190
2002-10-01,85.651
2003-01-01,86.179
2003-04-01,86.455
2003-07-01,86.934
2003-10-01,87.346
2004-01-01,88.108
2004-04-01,88.875
2004-07-01,89.422
2004-10-01,90.049
2005-01-01,90.883
2005-04-01,91.543
2005-07-01,92.399
2005-10-01,93.100
2006-01-01,93.832
2006-04-01,94.587
2006-07-01,95.247
2006-10-01,95.580
2007-01-01,96.654
2007-04-01,97.194
2007-07-01,97.531
2007-10-01,97.956
2008-01-01,98.516
2008-04-01,98.995
2008-07-01,99.673
2008-10-01,99.815
2009-01-01,100.062
2009-04-01,99.895
2009-07-01,99.873
2009-10-01,100.169
2010-01-01,100.522
2010-04-01,100.968
2010-07-01,101.429
2010-10-01,101.949
2011-01-01,102.399
2011-04-01,103.145
2011-07-01,103.768
2011-10-01,103.917
2012-01-01,104.466
2012-04-01,104.943
2012-07-01,105.508
2012-10-01,105.935
2013-01-01,106.349
2013-04-01,106.570
2013-07-01,107.084
2013-10-01,107.636
2014-01-01,108.083
2014-04-01,108.692
2014-07-01,109.187
2014-10-01,109.345
2015-01-01,109.326
2015-04-01,109.916
2015-07-01,110.286
2015-10-01,110.513
2016-01-01,110.582
2016-04-01,111.249
2016-07-01,111.628
2016-10-01,112.190
2017-01-01,112.746
2017-04-01,113.029
